name,slug,price,stockQuantity,category,description,shortDescription,compareAtPrice,sku,careLevel,lightRequirement,wateringFrequency,isPetSafe,plantSize,growthRate,careInstructions,isFeatured,isActive,imageUrls
Spekboom,spekboom,75,25,outdoor-plants,"Spekboom (Portulacaria afra) is a water-wise South African succulent perfect for xeriscaping. Known as the 'elephant bush', it's drought-tolerant, fast-growing, and excellent for sustainable gardening practices.",Water-wise South African succulent for xeriscaping,,SPK-001,EASY,DIRECT_SUN,MONTHLY,false,SMALL,FAST,Extremely drought tolerant. Minimal watering required.,true,true,https://images.unsplash.com/photo-1523275335684-37898b6baf30
Wild Dagga,wild-dagga-medium,105,20,outdoor-plants,"Wild Dagga (Leonotis leonurus) is a vibrant South African indigenous plant known for its striking orange, furry flowers that resemble lion's ears. It's drought-tolerant and attracts pollinators, making it perfect for water-wise and wildlife-friendly gardens.",Vibrant South African indigenous plant with orange, furry flowers,,WD-001,EASY,DIRECT_SUN,BI_WEEKLY,false,MEDIUM,FAST,Thrives in full sun and well-draining soil. Drought tolerant once established.,false,true,https://images.unsplash.com/photo-1616963947134-b2e9c4ac8d0f
Kanna,kanna-small,95,18,outdoor-plants,"Kanna (Sceletium tortuosum) is a unique South African succulent known for its traditional uses and interesting appearance. It's a low-growing, drought-tolerant plant that thrives in sunny, well-draining conditions.",Unique South African succulent with traditional uses,,KAN-001,MODERATE,DIRECT_SUN,MONTHLY,false,SMALL,SLOW,Requires excellent drainage and full sun. Water sparingly, especially in winter.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Yellowwood,yellowwood-small,130,15,outdoor-plants,"The Yellowwood (Podocarpus latifolius) is South Africa's national tree, known for its majestic size and evergreen foliage. A slow-growing, long-lived tree, it's ideal for creating a lasting impact in larger gardens, preferring well-drained soil.",South Africa's national tree with majestic, evergreen foliage,,YW-001,MODERATE,BRIGHT,BI_WEEKLY,false,SMALL,SLOW,Prefers well-drained soil and can tolerate various light conditions. Protect from frost when young.,false,true,https://images.unsplash.com/photo-1587393489882-3373a0480b5b
Coral Tree,coral-tree-medium,165,12,outdoor-plants,"The Coral Tree (Erythrina lysistemon) is a spectacular South African native, famous for its brilliant red-orange flowers that bloom in winter before the leaves appear. It's drought-tolerant and provides a stunning visual display, attracting birds.",Spectacular South African native with brilliant red-orange winter flowers,,CT-001,EASY,DIRECT_SUN,BI_WEEKLY,false,MEDIUM,MODERATE,Thrives in full sun and well-draining soil. Drought tolerant once established.,false,true,https://images.unsplash.com/photo-1616963947134-b2e9c4ac8d0f
Lavender,lavender,85,30,outdoor-plants,"Fragrant English Lavender produces beautiful purple flower spikes and aromatic foliage. Perfect for herb gardens, borders, and attracting beneficial insects. Thrives in South African conditions with minimal water.",Fragrant purple flowers perfect for herb gardens,,LAV-001,EASY,DIRECT_SUN,WEEKLY,true,SMALL,MODERATE,Full sun essential. Allow soil to dry between waterings.,true,true,https://images.unsplash.com/photo-1611909189299-85dd6c8a3de8
Rosemary,rosemary,75,25,outdoor-plants,"Aromatic Rosemary is essential for any herb garden. This hardy Mediterranean herb thrives in South African conditions and provides year-round fresh herbs for cooking. Drought-tolerant once established.",Essential aromatic herb for cooking,,ROS-001,EASY,DIRECT_SUN,WEEKLY,true,SMALL,MODERATE,Well-draining soil essential. Pinch flowers to maintain leaf production.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Thyme,thyme,65,35,outdoor-plants,"Common Thyme is a compact herb perfect for containers or herb gardens. This hardy perennial provides fresh herbs year-round and attracts beneficial insects. Very drought-tolerant once established.",Compact herb perfect for containers,,THY-001,EASY,DIRECT_SUN,WEEKLY,true,SMALL,SLOW,Harvest regularly to encourage new growth. Very drought tolerant.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Oregano,oregano,75,30,outdoor-plants,"Oregano is essential for Mediterranean cooking and thrives in South African gardens. This spreading herb produces small white flowers that attract bees. Harvest leaves throughout the growing season.",Essential Mediterranean herb for cooking,,ORE-001,EASY,DIRECT_SUN,WEEKLY,true,SMALL,MODERATE,Pinch flowers to maintain leaf flavor. Spreads readily.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Sage,sage,85,25,outdoor-plants,"Garden Sage offers beautiful silver-green foliage and is essential for cooking. This hardy perennial herb thrives with minimal care and produces lovely purple flower spikes that attract pollinators.",Silver-green herb with purple flower spikes,,SAG-001,EASY,DIRECT_SUN,WEEKLY,true,SMALL,SLOW,Cut back after flowering. Very drought tolerant.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Mint,mint,65,30,outdoor-plants,"Fresh Mint is perfect for teas, cocktails, and cooking. This vigorous grower prefers moist conditions and some shade. Best grown in containers to prevent spreading throughout the garden.",Vigorous herb perfect for teas and cocktails,,MIN-001,EASY,MEDIUM,BI_WEEKLY,true,SMALL,FAST,Keep soil moist. Contains spread by growing in pots.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Basil,basil,55,40,outdoor-plants,"Sweet Basil is essential for any herb garden. This annual herb produces aromatic leaves perfect for cooking and needs warm conditions to thrive. Pinch flowers to encourage leaf production.",Essential aromatic herb for Italian cooking,,BAS-001,EASY,DIRECT_SUN,BI_WEEKLY,true,SMALL,FAST,Warm conditions essential. Pinch flowers regularly.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Parsley,parsley,55,35,outdoor-plants,"Flat-leaf Parsley provides fresh herbs for cooking year-round. This biennial herb prefers cooler conditions and some afternoon shade. Essential for any kitchen garden.",Fresh flat-leaf variety for cooking,,PAR-001,EASY,MEDIUM,BI_WEEKLY,true,SMALL,MODERATE,Some afternoon shade appreciated. Harvest outer leaves first.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Chives,chives-small,65,35,outdoor-plants,"Chives are a versatile, onion-flavored herb perfect for adding a mild, savory taste to many dishes. Easy to grow and propagate, they thrive in sunny spots and are a great addition to any herb garden or container.",Versatile onion-flavored herb, easy to grow and propagate,,CHV-001,EASY,DIRECT_SUN,WEEKLY,true,SMALL,MODERATE,Prefers full sun and well-drained soil. Harvest regularly to encourage new growth.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Lemon Balm,lemon-balm-small,75,28,outdoor-plants,"Lemon Balm (Melissa officinalis) is a delightful herb with a refreshing lemon scent, perfect for teas, desserts, and attracting pollinators. Easy to grow and highly fragrant, it thrives in most garden conditions.",Delightful herb with refreshing lemon scent for teas and pollinators,,LMB-001,EASY,MEDIUM,WEEKLY,true,SMALL,FAST,Tolerates partial shade. Can spread, so consider planting in a container.,false,true,https://images.unsplash.com/photo-1629016460683-3fb2e15c9afa
Hibiscus,hibiscus-medium,130,15,outdoor-plants,"Hibiscus plants are renowned for their large, showy, and often trumpet-shaped flowers in a variety of vibrant colors. They add a tropical splash to gardens and patios and thrive in warm, sunny conditions.",Showy, trumpet-shaped flowers add tropical splash to gardens,,HIB-001,MODERATE,DIRECT_SUN,WEEKLY,false,MEDIUM,MODERATE,Requires full sun and consistent watering during blooming season.,false,true,https://images.unsplash.com/photo-1594966601633-5c7a5f2a1b1d
Bougainvillea,bougainvillea-medium,120,18,outdoor-plants,"Bougainvillea is a spectacular, vibrant climbing plant known for its prolific and colorful bracts that surround tiny flowers. Ideal for fences, walls, or as a vibrant shrub, it thrives in full sun and warm, dry conditions.",Spectacular, vibrant climbing plant with colorful bracts,,BOU-001,MODERATE,DIRECT_SUN,BI_WEEKLY,false,MEDIUM,FAST,Requires full sun and well-draining soil. Drought-tolerant once established.,false,true,https://images.unsplash.com/photo-1579546944686-27a13d7a8d5f
Gardenia,gardenia-medium,145,12,outdoor-plants,"Gardenias are beloved for their exquisitely fragrant white flowers and glossy, dark green leaves. They add a touch of elegance to any garden or patio, thriving in warm, humid conditions with consistent moisture.",Exquisitely fragrant white flowers and glossy, dark green leaves,,GAR-001,MODERATE,BRIGHT,WEEKLY,false,MEDIUM,MODERATE,Prefers high humidity and consistently moist, acidic soil. Protect from harsh afternoon sun.,false,true,https://images.unsplash.com/photo-1598501170669-7c4f4b2f1e2f
Azalea,azalea-medium,155,10,outdoor-plants,"Azaleas are celebrated for their dazzling, abundant blooms that create a spectacular display of color in spring. These popular flowering shrubs prefer acidic, well-draining soil and partial shade, making them perfect for woodland gardens.",Dazzling, abundant blooms create a spectacular spring display,,AZA-001,ADVANCED,MEDIUM,WEEKLY,false,MEDIUM,MODERATE,Requires acidic soil and consistent moisture. Protect from direct sun and strong winds.,false,true,https://images.unsplash.com/photo-1594966601633-5c7a5f2a1b1d
Camellia,camellia-medium,165,10,outdoor-plants,"Camellias are elegant evergreen shrubs known for their exquisite, waxy flowers that bloom in late winter or early spring, bringing color when little else is in bloom. They prefer partial shade and well-drained, acidic soil.",Elegant evergreen shrubs with exquisite waxy flowers in late winter,,CAM-001,MODERATE,MEDIUM,WEEKLY,false,MEDIUM,SLOW,Prefers partial shade and consistently moist, acidic soil. Avoid root disturbance.,false,true,https://images.unsplash.com/photo-1598501170669-7c4f4b2f1e2f
Roses,roses-medium,110,15,outdoor-plants,"Roses are timeless and iconic flowering plants, cherished for their diverse beauty, fragrant blooms, and classic elegance. Available in many varieties, they are a staple in any garden, symbolizing love and beauty.",Timeless and iconic flowering plants, cherished for their beauty and fragrance,,ROS-002,MODERATE,DIRECT_SUN,WEEKLY,false,MEDIUM,MODERATE,Requires full sun, good air circulation, and consistent watering. Prune regularly for best blooms.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Snake Plant,snake-plant,95,25,indoor-plants,"The Snake Plant (Sansevieria trifasciata) is one of the most popular and resilient houseplants. Known for its striking upright leaves with yellow edges, it's perfect for beginners and busy plant parents. This air-purifying champion thrives on neglect and can tolerate low light conditions.",Hardy air-purifying plant perfect for beginners,120,SNK-001,EASY,LOW,BI_WEEKLY,false,SMALL,SLOW,Water only when soil is completely dry. Prefers bright indirect light but tolerates low light.,true,true,https://images.unsplash.com/photo-1581595220892-b0739db3ba8c
Snake Plant Large,snake-plant-large,155,15,indoor-plants,"Large Snake Plant (Sansevieria trifasciata) specimen perfect for making a statement. This mature plant features the characteristic sword-like leaves with vibrant yellow margins. Excellent air purifier that removes toxins while requiring minimal care.",Large statement Snake Plant for instant impact,,SNK-002,EASY,LOW,BI_WEEKLY,false,MEDIUM,SLOW,Water sparingly - every 2-3 weeks. Avoid overwatering.,true,true,https://images.unsplash.com/photo-1581595220892-b0739db3ba8c
ZZ Plant,zz-plant,105,20,indoor-plants,"The ZZ Plant (Zamioculcas zamiifolia) is virtually indestructible with glossy, dark green leaves that add elegance to any space. This drought-tolerant beauty thrives in low light and forgives forgotten waterings, making it ideal for offices and low-maintenance homes.",Glossy indestructible plant for low light spaces,,ZZ-001,EASY,LOW,MONTHLY,false,SMALL,SLOW,Water monthly or when soil is dry. Extremely drought tolerant.,true,true,https://images.unsplash.com/photo-1509423350716-97f2360af934
ZZ Plant Medium,zz-plant-medium,175,12,indoor-plants,"Medium-sized ZZ Plant perfect for desks or shelves. Features the signature glossy leaves and requires almost no maintenance. This size offers great value for creating instant greenery without the commitment of regular plant care.",Medium ZZ Plant for desks and shelves,,ZZ-002,EASY,LOW,MONTHLY,false,MEDIUM,SLOW,Water every 3-4 weeks. Allow soil to dry completely between waterings.,false,true,https://images.unsplash.com/photo-1509423350716-97f2360af934
Spider Plant,spider-plant,65,30,indoor-plants,"The Spider Plant (Chlorophytum comosum) is a classic houseplant beloved for its arching green and white striped leaves and adorable plantlets. Safe for pets and excellent for beginners, it's perfect for hanging baskets or shelf displays.",Pet-safe classic with baby plantlets,,SP-001,EASY,MEDIUM,WEEKLY,true,SMALL,FAST,Keep soil slightly moist. Bright indirect light preferred.,false,true,https://images.unsplash.com/photo-1416879595882-3373a0480b5b
Golden Pothos,golden-pothos,85,25,indoor-plants,"Golden Pothos (Epipremnum aureum) is the ultimate trailing plant with heart-shaped leaves splashed with golden yellow. This vigorous grower is perfect for hanging baskets or climbing moss poles. Extremely forgiving and adaptable to various light conditions.",Ultimate trailing plant with golden variegation,,POT-001,EASY,MEDIUM,WEEKLY,false,SMALL,FAST,Allow top inch of soil to dry between waterings. Trim to maintain shape.,true,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Golden Pothos Hanging,golden-pothos-hanging,130,15,indoor-plants,"Beautiful trailing Golden Pothos in a hanging format. This established plant comes ready to display with cascading vines that will continue growing. Perfect for adding vertical interest and bringing life to empty corners.",Trailing Pothos ready for hanging display,,POT-002,EASY,MEDIUM,WEEKLY,false,MEDIUM,FAST,Water when top soil feels dry. Pinch growing tips to encourage bushiness.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Marble Queen Pothos,marble-queen-pothos,95,20,indoor-plants,"Marble Queen Pothos (Epipremnum aureum 'Marble Queen') features beautiful variegated leaves with splashes of white and green, offering a brighter, more artistic look than the classic Golden Pothos. This easy-care trailing plant is perfect for adding brightness to any room.",Easy-care trailing plant with variegated white and green leaves,,POT-003,EASY,MEDIUM,WEEKLY,false,SMALL,FAST,Prefers bright indirect light to maintain variegation. Allow soil to dry slightly between waterings.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Peace Lily,peace-lily,120,18,indoor-plants,"The Peace Lily (Spathiphyllum) combines beautiful white blooms with lush green foliage. Known as one of the top air-purifying plants, it dramatically droops when thirsty, making watering timing easy. Perfect for adding elegance to any room.",White-flowering air purifier with dramatic watering signals,,PL-001,EASY,MEDIUM,WEEKLY,false,SMALL,MODERATE,Water when leaves begin to droop slightly. Enjoys humidity.,true,true,https://images.unsplash.com/photo-1597149435035-2e69e5863b6e
Peace Lily Medium,peace-lily-medium,185,10,indoor-plants,"Medium Peace Lily perfect for floor placement or large surfaces. This size typically produces more frequent blooms and creates a substantial presence. The white spaths contrast beautifully with dark green leaves.",Medium Peace Lily for substantial presence,,PL-002,EASY,MEDIUM,WEEKLY,false,MEDIUM,MODERATE,Keep soil consistently moist but not soggy. Mist leaves regularly.,false,true,https://images.unsplash.com/photo-1597149435035-2e69e5863b6e
Rubber Plant,rubber-plant,105,22,indoor-plants,"The Rubber Plant (Ficus elastica) features large, glossy burgundy and green leaves that make a bold statement. This fast-growing beauty adapts well to indoor conditions and can grow quite tall, making it perfect for filling empty corners.",Bold statement plant with glossy burgundy leaves,,RUB-001,EASY,BRIGHT,WEEKLY,false,SMALL,MODERATE,Water when top inch of soil is dry. Wipe leaves clean monthly.,false,true,https://images.unsplash.com/photo-1542328694-2b8ad681d5ab
Rubber Plant Medium,rubber-plant-medium,175,15,indoor-plants,"Medium Rubber Plant offering immediate impact with its large, glossy leaves. This size is perfect for creating a focal point while still being manageable for most spaces. Known for its air-purifying qualities.",Medium Rubber Plant for immediate impact,,RUB-002,EASY,BRIGHT,WEEKLY,false,MEDIUM,MODERATE,Bright indirect light preferred. Clean leaves with damp cloth monthly.,false,true,https://images.unsplash.com/photo-1542328694-2b8ad681d5ab
Monstera Deliciosa,monstera-deliciosa,155,20,indoor-plants,"The Instagram-famous Monstera Deliciosa features iconic split leaves that develop beautiful fenestrations as it matures. This tropical beauty is surprisingly easy to care for and makes an impressive statement in any modern home.",Instagram-famous plant with iconic split leaves,,MON-001,MODERATE,BRIGHT,WEEKLY,false,SMALL,MODERATE,Bright indirect light. Water when top 2 inches of soil are dry.,true,true,https://images.unsplash.com/photo-1506905925346-21bda4d32df4
Monstera Deliciosa Medium,monstera-deliciosa-medium,225,12,indoor-plants,"Medium Monstera Deliciosa with developing fenestrations. This size shows the plant's characteristic splits and holes, making it perfect for those wanting the iconic Monstera look without waiting years for maturity.",Medium Monstera with developing split leaves,,MON-002,MODERATE,BRIGHT,WEEKLY,false,MEDIUM,MODERATE,Provide moss pole for climbing support. Wipe leaves weekly.,false,true,https://images.unsplash.com/photo-1506905925346-21bda4d32df4
Monstera with Moss Pole,monstera-moss-pole,395,8,indoor-plants,"Large Monstera Deliciosa trained on a moss pole, displaying the full glory of its split leaves. This statement piece brings tropical elegance and architectural interest to any space. Perfect for plant enthusiasts ready for a showstopper.",Large Monstera on moss pole - ultimate statement piece,,MON-003,MODERATE,BRIGHT,WEEKLY,false,LARGE,MODERATE,Mist moss pole regularly. Train new growth onto pole.,true,true,https://images.unsplash.com/photo-1506905925346-21bda4d32df4
Fiddle Leaf Fig,fiddle-leaf-fig,135,15,indoor-plants,"The trendy Fiddle Leaf Fig (Ficus lyrata) features large, violin-shaped leaves that create an instant designer look. While it requires more attention than other houseplants, its dramatic presence makes it worth the effort for dedicated plant parents.",Trendy designer plant with violin-shaped leaves,,FLF-001,ADVANCED,BRIGHT,WEEKLY,false,SMALL,SLOW,Consistent watering schedule essential. Bright indirect light only.,true,true,https://images.unsplash.com/photo-1509423350716-97f2360af934
Fiddle Leaf Fig Medium,fiddle-leaf-fig-medium,225,10,indoor-plants,"Medium Fiddle Leaf Fig perfect for making a statement. This size showcases the plant's iconic large leaves while being manageable for most spaces. Requires consistent care but rewards with stunning architectural form.",Medium Fiddle Leaf Fig for statement displays,,FLF-002,ADVANCED,BRIGHT,WEEKLY,false,MEDIUM,SLOW,Avoid moving once established. Water consistently but avoid overwatering.,true,true,https://images.unsplash.com/photo-1509423350716-97f2360af934
Fiddle Leaf Fig Large,fiddle-leaf-fig-large,485,5,indoor-plants,"Large Fiddle Leaf Fig (1.6m tall) - the ultimate statement plant. This mature specimen features the full grandeur of large violin-shaped leaves. Perfect for those wanting instant impact and dramatic presence.",Ultimate statement Fiddle Leaf Fig - 1.6m tall,,FLF-003,ADVANCED,BRIGHT,WEEKLY,false,LARGE,SLOW,Premium care required. Stable environment essential.,true,true,https://images.unsplash.com/photo-1509423350716-97f2360af934
Bird of Paradise,bird-of-paradise,195,12,outdoor-plants,"The Bird of Paradise (Strelitzia reginae) produces spectacular orange and blue bird-like flowers. This South African native thrives in our climate and makes a stunning garden centerpiece. Mature plants bloom regularly with proper care.",Spectacular bird-like flowers - South African native,,BOP-001,MODERATE,DIRECT_SUN,BI_WEEKLY,false,MEDIUM,MODERATE,Full sun required for flowering. Deep watering twice weekly in summer.,true,true,https://images.unsplash.com/photo-1584464491033-06628f3a6b7b
Swiss Cheese Plant,monstera-adansonii-small,120,18,indoor-plants,"The Swiss Cheese Plant (Monstera adansonii) is a vining plant with distinctive natural holes (fenestrations) in its leaves, giving it a unique, airy appearance. Perfect for hanging baskets or climbing, it's a fast grower and relatively easy to care for.",Vining plant with distinctive natural holes in its leaves,,MON-004,MODERATE,MEDIUM,WEEKLY,false,SMALL,FAST,Prefers bright indirect light and high humidity. Water when the top inch of soil is dry.,false,true,https://images.unsplash.com/photo-1586878842514-1dfcdeb2f6cd
Monstera Thai Constellation,monstera-thai-constellation-small,595,8,indoor-plants,"The Monstera Thai Constellation is a highly sought-after, rare variegated Monstera Deliciosa, featuring stunning splashes and marbling of creamy white or yellow across its large, fenestrated leaves. This collector's plant is a true showstopper, requiring bright, indirect light.",Highly sought-after rare variegated Monstera with stunning creamy splashes,,MON-005,EXPERT,BRIGHT,WEEKLY,false,SMALL,MODERATE,Requires bright indirect light for best variegation. Allow soil to dry slightly between waterings.,true,true,https://images.unsplash.com/photo-1506905925346-21bda4d32df4
Heart Leaf Philodendron,heart-leaf-philodendron,85,30,indoor-plants,"The Heart Leaf Philodendron is a classic trailing plant with glossy heart-shaped leaves. Extremely easy to grow and propagate, it's perfect for beginners wanting a lush, trailing display. Grows quickly and looks beautiful in hanging baskets.",Classic trailing plant with heart-shaped leaves,,PH-001,EASY,MEDIUM,WEEKLY,false,SMALL,FAST,Bright indirect light. Allow soil to dry slightly between waterings.,false,true,https://images.unsplash.com/photo-1633522084771-73519d8a13b9
Philodendron Brasil,philodendron-brasil,95,25,indoor-plants,"Philodendron Brasil features stunning variegated leaves with splashes of lime green and yellow. This fast-growing trailer adds bright color to any space and is just as easy to care for as its solid green cousin.",Variegated trailing philodendron with lime green splashes,,PH-002,EASY,MEDIUM,WEEKLY,false,SMALL,FAST,Bright light enhances variegation. Pinch tips to encourage bushiness.,true,true,https://images.unsplash.com/photo-1633522084771-73519d8a13b9
Philodendron Pink Princess,philodendron-pink-princess,185,12,indoor-plants,"The coveted Philodendron Pink Princess features stunning pink variegation on dark green leaves. Once extremely rare and expensive, this beauty is now more accessible while maintaining its status as a collector's favorite.",Coveted philodendron with stunning pink variegation,,PH-003,MODERATE,BRIGHT,WEEKLY,false,SMALL,MODERATE,Bright light essential for pink coloration. Higher humidity preferred.,true,true,https://images.unsplash.com/photo-1633522084771-73519d8a13b9
Philodendron Micans,philodendron-micans-small,105,22,indoor-plants,"Philodendron Micans is a stunning vining plant with velvety, heart-shaped leaves that shimmer with iridescent bronze, red, and deep green tones depending on the light. It's a fast grower and perfect for hanging baskets or climbing.",Velvety, heart-shaped leaves shimmer with iridescent tones,,PH-004,EASY,MEDIUM,WEEKLY,false,SMALL,FAST,Prefers bright indirect light to maintain color. Allow top inch of soil to dry between waterings.,false,true,https://images.unsplash.com/photo-1633522084771-73519d8a13b9
Philodendron Hope,philodendron-hope-medium,155,15,indoor-plants,"Philodendron Hope, also known as Selloum or Thaumatophyllum bipinnatifidum, is a large, architectural plant with deeply lobed, glossy green leaves that create a dramatic tropical presence. It's relatively low-maintenance and can grow quite large.",Large, architectural plant with deeply lobed, glossy green leaves,,PH-005,MODERATE,BRIGHT,WEEKLY,false,MEDIUM,MODERATE,Prefers bright indirect light and consistent moisture. Wipe leaves to keep them dust-free.,false,true,https://images.unsplash.com/photo-1633522084771-73519d8a13b9
Philodendron Xanadu,philodendron-xanadu-medium,130,18,indoor-plants,"Philodendron Xanadu is a compact, bushy philodendron with deeply lobed, glossy green leaves that create a lush, tropical look. It's easy to care for and perfect for adding dense foliage to smaller spaces or as a floor plant.",Compact, bushy philodendron with deeply lobed, glossy green leaves,,PH-006,EASY,MEDIUM,WEEKLY,false,MEDIUM,MODERATE,Tolerates a range of light conditions but thrives in bright indirect light. Water when top soil is dry.,false,true,https://images.unsplash.com/photo-1633522084771-73519d8a13b9
Philodendron Prince of Orange,philodendron-prince-of-orange-small,165,10,indoor-plants,"Philodendron Prince of Orange is a striking hybrid philodendron known for its vibrant, color-changing foliage. New leaves emerge a brilliant orange, fading to coppery green as they mature, creating a stunning display.",Striking hybrid with vibrant, color-changing foliage,,PH-007,MODERATE,BRIGHT,WEEKLY,false,SMALL,MODERATE,Bright indirect light enhances leaf coloration. Keep soil consistently moist but not soggy.,true,true,https://images.unsplash.com/photo-1633522084771-73519d8a13b9
Monstera Variegata,monstera-variegata-small,895,5,indoor-plants,"Monstera Variegata is an extremely rare and highly prized form of Monstera Deliciosa, showcasing stunning white or cream variegation on its iconic split leaves. Each leaf is a unique work of art, making it a true collector's gem.",Extremely rare and highly prized variegated Monstera,,MON-006,ADVANCED,BRIGHT,WEEKLY,false,SMALL,SLOW,Requires very bright indirect light for best variegation. Avoid direct sun. Sensitive to overwatering.,true,true,https://images.unsplash.com/photo-1506905925346-21bda4d32df4
